title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""Halo 4"",Shooter,""Microsoft Studios"",NULL,6.72,2.36,0.04,0.83,9.96,2012-11-06,2012
""Fallout 3"",Role-Playing,""Bethesda Softworks"",8.9,5.61,3.02,0.16,1.14,9.94,2008-10-28,2008
""Watch Dogs"",Action-Adventure,""Ubisoft"",NULL,3.86,4.37,0.22,1.27,9.7,2014-05-27,2014
""FIFA Soccer 08"",Sports,""EA Sports"",8.2,1.96,3.97,0.04,3.53,9.49,2007-10-08,2007
""Assassin's Creed: Revelations"",Action,""Ubisoft"",8.4,3.85,3.99,0.14,1.24,9.21,2011-11-15,2011
""Madden NFL 06"",Sports,""EA Sports"",8.4,7.68,0.46,0.02,0.86,9.03,2005-08-08,2005
""Just Dance 4"",Music,""Ubisoft"",NULL,5.42,2.65,NULL,0.85,8.93,2012-10-09,2012
""Medal of Honor: Frontline"",Shooter,""Electronic Arts"",8.5,4.39,3.3,0.17,1.07,8.91,2002-05-28,2002
""Resident Evil 5"",Action,""Capcom"",8.7,4.18,2.35,1.21,0.99,8.74,2009-03-13,2009
""Medal of Honor"",Shooter,""Electronic Arts"",7.8,4.5,3.16,0.11,0.85,8.62,1999-10-31,1999
""Far Cry 4"",Shooter,""Ubisoft"",8.5,3.02,4.23,0.22,1.09,8.55,2014-11-18,2014
""Need for Speed: ProStreet"",Racing,""Electronic Arts"",6.6,3.34,2.53,0.1,2.57,8.55,2007-11-13,2007
""Minecraft"",Misc,""Sony Computer Entertainment America"",NULL,2.43,3.59,1.25,1.26,8.52,2014-05-16,2014
""Pro Evolution Soccer 2008"",Sports,""Konami"",7.7,0.29,3.38,1.3,3.51,8.48,2007-10-26,2007
""Tony Hawk's Pro Skater"",Sports,""Activision"",8.7,6,2.16,0.03,0.28,8.46,1999-08-31,1999
""LEGO Harry Potter: Years 1-4"",Adventure,""Warner Bros. Interactive"",7.9,4.04,3.44,NULL,0.99,8.46,2010-06-29,2010
""NBA 2K16"",Sports,""2K Sports"",8.5,5.97,1.05,0.1,1.21,8.31,2015-09-29,2015
